id,vendor_id,pickup_datetime,passenger_count,pickup_point,dropoff_point,store_and_fwd_flag
id3004672,1,2016-06-30 23:59:58,1,-73.988128662109375;40.732028961181641,-73.99017333984375;40.756679534912109,N
id3505355,1,2016-06-30 23:59:53,1,-73.964202880859375;40.67999267578125,-73.959808349609375;40.655403137207031,N
id1217141,1,2016-06-30 23:59:47,1,-73.9974365234375;40.737583160400391,-73.986160278320312;40.729522705078125,N
id2150126,2,2016-06-30 23:59:41,1,-73.956069946289063;40.771900177001953,-73.986427307128906;40.73046875,N
id1598245,1,2016-06-30 23:59:33,1,-73.97021484375;40.761474609375,-73.961509704589844;40.755889892578125,N
id0668992,1,2016-06-30 23:59:30,1,-73.991302490234375;40.749797821044922,-73.980514526367188;40.786548614501953,N
id1765014,1,2016-06-30 23:59:15,1,-73.978309631347656;40.741550445556641,-73.952072143554688;40.717002868652344,N
id0898117,1,2016-06-30 23:59:09,2,-74.012710571289063;40.701526641845703,-73.986480712890625;40.719509124755859,N
id3905224,2,2016-06-30 23:58:55,2,-73.992332458496094;40.730510711669922,-73.875617980957031;40.875213623046875,N
id1543102,2,2016-06-30 23:58:46,1,-73.993179321289063;40.748760223388672,-73.97930908203125;40.761310577392578,N
id3024712,1,2016-06-30 23:58:32,4,-73.968528747558594;40.678432464599609,-73.966590881347656;40.635711669921875,N
id3665810,2,2016-06-30 23:58:05,1,-73.982772827148438;40.756908416748047,-73.974693298339844;40.753330230712891,N
id1836461,1,2016-06-30 23:58:01,1,-73.921104431152344;40.767292022705078,-73.936859130859375;40.774044036865234,N
id3457080,2,2016-06-30 23:57:57,1,-73.986801147460938;40.734916687011719,-73.975898742675781;40.756893157958984,N
id3376065,1,2016-06-30 23:57:25,1,-73.996345520019531;40.748161315917969,-73.950828552246094;40.782825469970703,N
id3008739,1,2016-06-30 23:57:22,1,-73.968025207519531;40.762283325195312,-73.934791564941406;40.797435760498047,N
id0902216,2,2016-06-30 23:56:44,1,-74.007713317871094;40.740680694580078,-73.96881103515625;40.753860473632812,N
id3564824,2,2016-06-30 23:55:36,5,-73.984298706054688;40.724983215332031,-73.981819152832031;40.740596771240234,N
id0820280,2,2016-06-30 23:55:28,1,-73.952598571777344;40.768321990966797,-73.948554992675781;40.773723602294922,N
id0775088,2,2016-06-30 23:55:20,1,-73.966690063476563;40.794090270996094,-73.9207763671875;40.830059051513672,N
id1468488,2,2016-06-30 23:55:13,1,-73.99468994140625;40.725818634033203,-73.987159729003906;40.729259490966797,N
id2657479,1,2016-06-30 23:55:12,1,-73.965950012207031;40.758068084716797,-73.977523803710938;40.742527008056641,N
id1262719,2,2016-06-30 23:55:04,5,-73.986381530761719;40.762001037597656,-73.966148376464844;40.762088775634766,N
id1345524,2,2016-06-30 23:54:55,1,-73.955986022949219;40.714069366455078,-73.980682373046875;40.675735473632813,N
id2911638,1,2016-06-30 23:54:45,1,-73.984100341796875;40.742759704589844,-73.956001281738281;40.784809112548828,N
id2849512,2,2016-06-30 23:54:16,3,-73.872993469238281;40.773979187011719,-73.962440490722656;40.774711608886719,N
id0236829,1,2016-06-30 23:53:06,1,-73.967620849609375;40.762855529785156,-73.952301025390625;40.782180786132812,N
id2905906,1,2016-06-30 23:52:34,1,-73.985359191894531;40.759548187255859,-73.9732666015625;40.763294219970703,Y
id3737939,1,2016-06-30 23:52:15,2,-73.987525939941406;40.765510559082031,-73.938713073730469;40.849826812744141,N
id0766179,2,2016-06-30 23:51:42,2,-73.985343933105469;40.747356414794922,-73.978378295898437;40.675571441650391,N
id3422639,1,2016-06-30 23:51:28,1,-73.979087829589844;40.755390167236328,-73.990997314453125;40.749774932861328,N
id3864673,2,2016-06-30 23:50:30,2,-73.977668762207031;40.725509643554688,-73.906532287597656;40.737319946289063,N
id2052707,2,2016-06-30 23:50:28,1,-74.007438659667969;40.733100891113281,-73.996047973632813;40.722461700439453,N
id0591443,2,2016-06-30 23:50:28,1,-73.983268737792969;40.767799377441406,-73.953369140625;40.771198272705078,N
id1686925,1,2016-06-30 23:50:15,1,-74.008369445800781;40.704208374023438,-73.988075256347656;40.764614105224609,N
id0429284,1,2016-06-30 23:50:03,1,-73.9815673828125;40.758583068847656,-74.005325317382812;40.746116638183594,N
id1860783,1,2016-06-30 23:50:00,4,-73.985008239746094;40.732418060302734,-74.012947082519531;40.702415466308594,N
id0928636,1,2016-06-30 23:49:35,1,-73.962089538574219;40.763675689697266,-73.965164184570313;40.762683868408203,N
id3904914,1,2016-06-30 23:49:26,1,-73.976654052734375;40.748081207275391,-73.987838745117188;40.748973846435547,N
id2844603,2,2016-06-30 23:49:15,1,-73.990913391113281;40.734245300292969,-73.965545654296875;40.805335998535156,N
id3400686,1,2016-06-30 23:49:14,2,-73.9722900390625;40.756496429443359,-73.991310119628906;40.749969482421875,N
id1408427,2,2016-06-30 23:48:51,1,-74.005180358886719;40.719135284423828,-73.953819274902344;40.821624755859375,N
id1712395,1,2016-06-30 23:48:50,2,-73.989547729492188;40.757377624511719,-73.972618103027344;40.793434143066406,N
id2475053,2,2016-06-30 23:48:19,1,-73.970291137695313;40.762401580810547,-73.996971130371094;40.750450134277344,N
id3485082,1,2016-06-30 23:48:06,2,-73.978126525878906;40.745498657226562,-73.982231140136719;40.759754180908203,N
id0827714,1,2016-06-30 23:47:30,3,-73.984710693359375;40.748096466064453,-73.996650695800781;40.749351501464844,N
id2765337,2,2016-06-30 23:47:07,1,-73.987358093261719;40.756351470947266,-73.978309631347656;40.752418518066406,N
id3139513,2,2016-06-30 23:46:37,2,-73.994110107421875;40.746379852294922,-73.992019653320313;40.718250274658203,N
id1823365,1,2016-06-30 23:46:22,1,-73.944648742675781;40.779598236083984,-73.948875427246094;40.773551940917969,N
id2690061,2,2016-06-30 23:46:11,1,-73.989059448242188;40.74420166015625,-73.989517211914062;40.767940521240234,N
id2214549,1,2016-06-30 23:45:49,1,-74.001373291015625;40.741344451904297,-73.97711181640625;40.749786376953125,N
id0552977,1,2016-06-30 23:45:48,3,-73.980842590332031;40.742031097412109,-73.972366333007812;40.75628662109375,N
id1556775,2,2016-06-30 23:45:46,1,-73.989021301269531;40.721599578857422,-74.004150390625;40.706050872802734,N
id0364901,1,2016-06-30 23:45:17,2,-73.975608825683594;40.745368957519531,-73.946823120117188;40.776397705078125,N
id3345419,2,2016-06-30 23:44:32,1,-73.987403869628906;40.721729278564453,-73.999458312988281;40.693397521972656,N
id0814840,1,2016-06-30 23:44:31,2,-73.787643432617188;40.641918182373047,-73.971549987792969;40.676395416259766,N
id3159174,1,2016-06-30 23:44:16,1,-73.865768432617188;40.770969390869141,-73.991081237792969;40.677848815917969,N
id3650870,2,2016-06-30 23:43:38,6,-73.787773132324219;40.641689300537109,-73.700950622558594;40.716991424560547,N
id2576205,1,2016-06-30 23:42:58,1,-73.998756408691406;40.732059478759766,-73.983604431152344;40.725944519042969,N
id3408993,2,2016-06-30 23:42:17,2,-73.974327087402344;40.750541687011719,-73.975921630859375;40.732509613037109,N
id1969762,2,2016-06-30 23:41:53,1,-73.986503601074219;40.718181610107422,-74.008682250976562;40.740631103515625,N
id3043563,2,2016-06-30 23:41:38,5,-73.98974609375;40.752193450927734,-73.993232727050781;40.722667694091797,N
id0697361,1,2016-06-30 23:41:33,1,-73.951553344726563;40.723270416259766,-73.956108093261719;40.717189788818359,N
id0527242,1,2016-06-30 23:41:23,1,-73.990020751953125;40.729465484619141,-73.957756042480469;40.711288452148438,N
id1890566,2,2016-06-30 23:41:07,1,-73.980796813964844;40.753559112548828,-73.942863464355469;40.787441253662109,N
id0882843,1,2016-06-30 23:41:05,1,-73.787940979003906;40.641517639160156,-73.966987609863281;40.756847381591797,N
id2126329,2,2016-06-30 23:40:55,1,-73.993263244628906;40.742023468017578,-73.942680358886719;40.599433898925781,N
id3443802,2,2016-06-30 23:40:54,1,-73.981842041015625;40.755336761474609,-73.96051025390625;40.761371612548828,N
id1114580,2,2016-06-30 23:40:47,1,-73.985588073730469;40.746078491210937,-73.992279052734375;40.724609375,N
id2529811,1,2016-06-30 23:40:22,3,-73.989891052246094;40.740837097167969,-73.996475219726563;40.766658782958984,N
id1792589,1,2016-06-30 23:40:20,1,-73.992477416992188;40.758296966552734,-73.980781555175781;40.748012542724609,N
id0071844,1,2016-06-30 23:39:44,1,-73.987945556640625;40.737991333007813,-73.991073608398438;40.719284057617187,N
id3468683,1,2016-06-30 23:39:41,1,-73.995765686035156;40.753856658935547,-73.986091613769531;40.743400573730469,N
id2108605,2,2016-06-30 23:39:39,3,-73.977516174316406;40.752304077148438,-73.999488830566406;40.76123046875,N
id3353510,1,2016-06-30 23:39:21,1,-73.983619689941406;40.743667602539063,-74.0048828125;40.740806579589844,N
id1707352,1,2016-06-30 23:38:45,1,-73.962966918945313;40.719146728515625,-73.8953857421875;40.693897247314453,N
id1650458,1,2016-06-30 23:38:33,4,-74.004081726074219;40.742057800292969,-73.974349975585937;40.763847351074219,N
id2175910,1,2016-06-30 23:38:28,1,-74.009765625;40.703155517578125,-73.996177673339844;40.678054809570313,N
id1443779,2,2016-06-30 23:38:21,1,-73.985702514648437;40.727256774902344,-73.980674743652344;40.745826721191406,N
id2459479,1,2016-06-30 23:38:16,3,-73.98101806640625;40.753276824951172,-73.907623291015625;40.778579711914063,N
id0358410,1,2016-06-30 23:38:12,1,-74.005699157714844;40.750637054443359,-73.988548278808594;40.722843170166016,N
id0582396,1,2016-06-30 23:37:43,1,-73.967567443847656;40.757663726806641,-73.99261474609375;40.741168975830078,N
id2262648,1,2016-06-30 23:37:29,1,-73.990653991699219;40.739921569824219,-73.972358703613281;40.745075225830078,N
id2422279,1,2016-06-30 23:37:21,1,-73.996688842773438;40.737522125244141,-73.987701416015625;40.75567626953125,N
id3993739,1,2016-06-30 23:37:14,1,-74.001129150390625;40.731399536132812,-73.991714477539062;40.758926391601563,N
id2578671,1,2016-06-30 23:37:07,2,-73.979591369628906;40.752639770507813,-73.952995300292969;40.777446746826172,N
id3313356,2,2016-06-30 23:37:04,1,-73.965103149414063;40.769088745117188,-73.952659606933594;40.780418395996094,N
id0526259,2,2016-06-30 23:36:57,1,-73.987419128417969;40.721828460693359,-73.945648193359375;40.715171813964844,N
id2384843,2,2016-06-30 23:36:23,2,-73.992828369140625;40.758266448974609,-74.005928039550781;40.724781036376953,N
id1266405,2,2016-06-30 23:36:02,1,-73.996879577636719;40.720428466796875,-73.990089416503906;40.720138549804687,N
id2043002,2,2016-06-30 23:35:45,1,-73.982948303222656;40.761768341064453,-73.993644714355469;40.730392456054687,N
id1284494,2,2016-06-30 23:35:41,1,-73.996437072753906;40.763500213623047,-73.975372314453125;40.752288818359375,N
id0226404,1,2016-06-30 23:35:06,1,-73.950492858886719;40.775356292724609,-73.940353393554688;40.847984313964844,N
id1170300,1,2016-06-30 23:34:42,1,-73.999916076660156;40.725288391113281,-73.91278076171875;40.762859344482422,N
id1309256,2,2016-06-30 23:34:41,5,-73.976913452148437;40.726642608642578,-73.955894470214844;40.813777923583984,N
id3645922,2,2016-06-30 23:34:16,1,-73.975418090820313;40.749755859375,-73.947563171386719;40.788604736328125,N
id1595264,1,2016-06-30 23:33:22,1,-73.97723388671875;40.751964569091797,-73.985893249511719;40.726825714111328,N
id2594446,1,2016-06-30 23:33:18,3,-73.997322082519531;40.719123840332031,-73.99029541015625;40.749935150146484,N
id0777968,1,2016-06-30 23:32:41,1,-74.00048828125;40.727401733398438,-73.999969482421875;40.761337280273437,N
id0426749,1,2016-06-30 23:32:09,4,-73.986351013183594;40.755756378173828,-73.947685241699219;40.752155303955078,N
